TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE),
HCDIZ,,0.42,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,($55.87),226762,12785600,,,$49.91 ,43842300,,,0.355,0.355,,-79.11,,-0.42
HCDIW,,,,Key Error,,,,N/A , - ,,($55.87),,,,,$49.91 ,,,,,,,-79.11,,0
HCIC,Hennessy Capital Investment Cor,9.92,undefined,None,,undefined,None,, 428.74 Mil ,431758496,$,None,2079000,-427435336,0.048,$0.23 ,0,1.033333333,1.03125,9.9,9.6,None,Not Found!,None,-9.872
HCICW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.23 ,,,,,,,Not Found!,,0
HCICU,,10.19,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,2079000,,,$0.23 ,0,,,10.17,9.83,,Not Found!,,-10.19
HCIIU,,9.99,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,None,,,$0.00 ,None,,,9.93,9.61,,Not Found!,,-9.99
HCII,Hudson Executive Investment Cor,9.78,undefined,None,,undefined,None,, 305.65 Mil ,305985568,$,None,889437,-304423075,0.028,$0.00 ,0,1.01242236,1.011387164,9.77,9.66,None,Not Found!,None,-9.752
HCIIW,,,,Key Error,,,,N/A , - ,,$,,,,,$0.00 ,,,,,,,Not Found!,,0
HCKT,"The Hackett Group, Inc.",20.73,7.0312,0.187,15,0.339179932,4.353612,7.62, 566.85 Mil ,528091776,$40.70 ,39687124,52453000,-568567544,1.759,$64.40 ,4862000,1.724625624,1.699667221,20.43,12.02,0.015800001,16.85,13.187,-18.971
HCNE,,,,Key Error,,,,, 384.92 Mil ,,$,,,,,$35.07 ,,,,,,,-1680.86,,0
HCSG,"Healthcare Services Group, Inc.",25.05,38.612,1.379,9,1.541397206,3.765722,6.86, 1.62 Bil ,1671143040,$149 ,103160496,250430000,-1606287440,3.354,$330 ,17794000,1.149082569,1.133944954,24.72,21.8,0.1168,11.91,14.729,-21.696
HCNEU,,10,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,None,,,$35.07 ,119651,,,9.94,9.8,,-1680.86,,-10
HCNEW,,,,Key Error,,,,, - ,,$,,,,,$35.07 ,,,,,,,-1680.86,,0
HCVIU,,,,Key Error,,,,, - ,,$,,,,,$0.16 ,,,,,,,Not Found!,,0
HCM,HUTCHMED (China) Limited,33.71,61.6848,-1.065,-44.7,1.829866508,11.176471,16.1, 4.84 Bil ,6322885120,($129.80),-86117872,950448000,-4000577152,5.654,$259.20 ,36692000,1.42416561,1.390367554,32.91,23.67,None,-19.75,-24.74,-28.056
HEAR,Turtle Beach Corporation,29.76,92.904,2.37,16,3.121774194,4.004787,6.16, 463.61 Mil ,407591392,$25.00 ,16422000,56197000,-419825528,3.498,$89.10 ,5608000,1.830258303,1.823493235,29.65,16.26,0.12149999,7.25,6.535,-26.262
HDSN,"Hudson Technologies, Inc.",3.38,-7.5152,-0.122,30,-2.223431953,3.5859125,1.48, 245.41 Mil ,183724960,($0.60),None,2775000,-142998936,0.064,$139.50 ,97588000,3.346534653,3.297029703,3.33,1.01,0.0147,10.67,14.072,-3.316
HEES,"H&E Equipment Services, Inc.",39.21,15.47232,0.227,34.1,0.394601377,5.83435,1.43, 2.59 Bil ,2410381824,($105),116430000,202487008,-1179298080,5.684,"$1,775 ",1418446976,1.985316456,1.928101266,38.08,19.75,0.02,7.63,16.132,-33.526
HCWB,,,,Key Error,,,,N/A , 128.87 Mil ,,$0.00 ,,,,,$4.17 ,,,,,,,-22.07,,0
HEPS,,5.54,,Unexpected error:<class 'TypeError'>,-31.5,,None,2.84, 1.79 Bil ,,$0.00 ,None,None,,,$368.30 ,None,,,5.43,5.41,,-52.7,,-5.54
HEPA,"Hepion Pharmaceuticals, Inc.",1.47,undefined,-10.333,N/A,undefined,0.35229707,N/A , 4.88 Mil ,12505170,($20.99),-9334891,110091000,-2722296,1.444,$9.03 ,452871,1.080882353,1.073529412,1.46,1.36,0.026199998,-0.2,-0.521,-0.026
HELE,Helen of Troy Limited,230.87,266.112,10.08,8,1.152648677,4.4581637,5.01, 5.97 Bil ,6050281472,$62 ,11864625,37368000,-5497890112,1.551,"$1,146 ",557708992,1.269562827,1.243442398,226.12,181.85,0.1074,18.26,18.136,-229.319
HERA,FTAC Hera Acquisition Corp.,9.75,undefined,None,,undefined,None,, 1.06 Bil ,1058510400,$,None,1539586,-1058513278,0.014,$59.57 ,0,1.010362694,1.009326425,9.74,9.65,None,-4374.01,None,-9.736
HERAU,,10,,Unexpected error:<class 'TypeError'>,,,None,, - ,,$,None,1539586,,,$59.57 ,0,,,9.98,9.85,,-4374.01,,-10
HERAW,,,,Key Error,,,,, - ,,$,,,,,$59.57 ,,,,,,,-4374.01,,0
HERD,,33.9323,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,33.8573,23.062,,Not Found!,,-33.9323
HERO,,28.12,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,28.0101,26.041,,Not Found!,,-28.12
HEWG,,31.96,,Key Error,,,None,Not Found!,Not Found!,,Not Found!,,,,,Not Found!,,,,31.93,24.97,,Not Found!,,-31.96
HEXO,HEXO Corp.,1.76,undefined,-1.46,,undefined,0.4068272,0.84, 456.45 Mil ,345937056,($31.04),-29632376,81038000,-179904592,0.54,$100.90 ,59176000,1.041420118,1.017751479,1.72,1.69,None,-4.22,-4.796,-1.22
