TICKER SYMBOL,NAME,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,PRICE TO BOOK,ALTMAN Z-SCORE,ENTERPRISE VALUE,EV(YFINANCE),FREE CASH_FLOW (MIL),FREE CASH_FLOW (YFINANCE),TOTAL CASH (YFINANCE),TOTAL CASH MINUS MARKET CAP,TOTAL CASH PER SHARE,TOTAL LIABILITIES (MIL),TOTAL LIABILITIES (YFINANCE),PRICE/FIFTY TWO WEEK LOW,DAY LOW/FIFTY TWO WEEK LOW,DAY LOW,FIFTY TWO WEEK LOW,PERCENT SHORT OF FLOAT,ENTERPRISE VALUE/EBITDA,EV/EBITDA (YFIANACE)
ACEV,ACE Convergence Acquisition Cor,9.98,undefined,None,,undefined,57.298855,N/A , 286.73 Mil ,286725408,$0.00,None,2093,-286635411,0,$46.12,90000,1.0299277605779156,1.0288957688338494,9.97,9.69,0.0187, -87.98 ,None
ACET,"Adicet Bio, Inc.",9.23,-173.00663565891475,-2.698,29.10,-18.743947525342875,1.2829452,3.84 , 104.76 Mil ,104763816,$-52.49,-20192250,208726000,-84223152,6.555,$40.44,20541000,1.4768000000000001,1.4512,9.07,6.25,0.028800001, -1.92 ,-2.297
ACB,Aurora Cannabis Inc.,6.85,undefined,-3.293,N/A,undefined,0.6473561,-1.05 , 1.29 Bil ,1293821568,$-203.5,-186061744,425208000,-894304448,2.146,$464.0,399550016,1.170940170940171,1.0991452991452992,6.43,5.85,None, -3 ,-6.691
ACGL,Arch Capital Group Ltd.,42.18,488.6008139534884,4.961,49.25,11.583708249252926,1.3315318,, 19.43 Bil ,15961714688,"$3,135",1426578432,4323366912,-12468139008,11.211,"$31,396",2724148992,1.350624399615754,1.3554274735830931,42.33,31.23,0.0109, 8.33 ,6.695
ACGLN,,25.91,,Unexpected error:<class 'TypeError'>,,,0.7965852,Not Found!,,,Not Found!,1426578432,4323366912,,,Not Found!,2724148992,,,25.93,24.98,,,
ACHL,Achilles Therapeutics plc,7.31,-101.86255813953488,-5.105,3.20,-13.934686475996564,0.8597569,N/A ," -5,873,000.00 ",-5873065,$0.00,-46949000,299316992,20776992,7.372,$29.52,14904000,1.3412844036697247,1.203669724770642,6.56,5.45,None, 0.2 ,0.12
ACGLO,Arch Capital Group Ltd. - Depos,26.13,undefined,4.961,,undefined,0.80549073,Not Found!,,9355881472,Not Found!,1426578432,4323366912,-10971058176,11.211,Not Found!,2724148992,1.0271226415094339,1.0243710691823897,26.06,25.44,None,,3.924
ACER,Acer Therapeutics Inc.,2.48,undefined,-1.289,N/A,undefined,4.530387,-4.28 , 29.81 Mil ,13316500,$0.90,11509127,22128332,-13074760,1.546,$32.21,241632,1.097345132743363,1.0796902654867258,2.4401,2.26,0.0375, -1.72 ,-0.775
ACIU,AC Immune SA,7.27,undefined,-1.073,N/A,undefined,2.554897,12.13 , 316.97 Mil ,243492480,$-77.93,-42910752,199135008,-333409312,2.739,$24.02,2697000,1.5145833333333334,1.4791666666666667,7.1,4.8,0.0379, -4.01 ,-3.359
ACHV,"Achieve Life Sciences, Inc.",8.96,-211.04821705426357,-5.266,15.00,-23.554488510520486,1.994447,N/A , 39.59 Mil ,39553164,$-22.35,-12166625,42001000,-39477136,4.444,$4.71,76000,1.3514328808446456,1.2820512820512822,8.5,6.63,0.048699997, -1.44 ,-1.438
ACHC,"Acadia Healthcare Company, Inc.",62.41,-194.03334883720933,-7.495,6.68,-3.109010556596849,2.3479946,2.34 , 7.12 Bil ,7209108480,$259,47268500,196312992,-5579351136,2.183,"$2,160",1567682048,1.60025641025641,1.61025641025641,62.8,39,0.0432, 15.47 ,14.521
ACKIT,,10.06,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,677130,,,$0.69,0,,,10.06,9.84,,Not Found!,
ACKIW,,,,Key Error,,,,N/A , - ,,$-0.30,,,,,$0.69,,,,,,,Not Found!,
ACKIU,,10.35,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$-0.30,None,363621,,,$0.69,0,,,10.38,8.14,,Not Found!,
ACNB,ACNB Corporation,28.16,undefined,3.115,N/A,undefined,0.94891745,," -290,708,000.00 ",-264835504,$33.39,None,592865984,348409680,67.979,"$2,442.15",88019000,1.2684684684684686,1.2635135135135136,28.05,22.2,0.0038,Not Found!,None
ACIW,"ACI Worldwide, Inc.",31.59,28.10883720930233,0.804,12.00,0.8898017476828848,3.1906497,2.25 , 4.82 Bil ,4777502720,$274,308867360,146212992,-3675454080,1.245,"$1,997",1179486976,1.0904383845357266,1.0945806006213326,31.71,28.97,0.0223, 15 ,19.71
ACQR,Independence Holdings Corp.,9.77,undefined,None,,undefined,None,, 606.38 Mil ,603269824,$,None,1556501,-605311915,0.025,$38.63,0,1.0145379023883696,1.0124610591900312,9.75,9.63,None, -1535.13 ,None
ACLS,"Axcelis Technologies, Inc.",57.91,78.30209302325582,1.611,20.00,1.352134225923948,4.216851,8.06 , 1.83 Bil ,1354926080,$52.2,12416000,219731008,-1831878976,6.545,$166.5,55400000,2.453813559322034,2.491525423728813,58.8,23.6,0.0325, 17.83 ,17.472
ACQRU,,9.94,,Unexpected error:<class 'TypeError'>,,,None,N/A , - ,,$,None,1556501,,,$38.63,0,,,9.93,9.82,, -1535.13 ,
ACOR,"Acorda Therapeutics, Inc.",3.99,-956.6802325581396,-14.959,29.00,-239.76948184414525,0.17813691,-2.55 , 184.52 Mil ,186502544,$-37.4,10166875,45714000,2551328,4.111,$301.0,187075008,1.2201834862385321,1.1865443425076452,3.88,3.27,0.0521, -2.69 ,-4.482
ACRS,"Aclaris Therapeutics, Inc.",16.84,-202.88007751937988,-1.435,74.40,-12.047510541530873,7.634508,9.70 , 810.59 Mil ,812741824,$-43.92,-26753750,128295000,-845307368,2.462,$46.91,14047000,5.5394736842105265,5.328947368421052,16.2,3.04,0.050100002, -13.53 ,-17.866
