TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL)
ACEV,9.95,undefined,None,,undefined, -253.59 , 284.01 Mil ,$,$8.91
ACEVU,10.61,undefined,None,,undefined,Not Found!, - ,$,$8.91
ACGL,39.7,270.14725517241385,3.32,45.13,6.804716754972641, 10.96 , 19.61 Bil ,"$2,847","$29,353"
ACGLO,26.6,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACGLP,25.69,undefined,3.32,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACHC,60.84,-257.84015172413797,-7.59,13.89,-4.238003808746515, 18.78 , 8.21 Bil ,$442,"$4,600"
ACHV,10.09,undefined,-5.418,N/A,undefined, -1.62 , 23.42 Mil ,$-13.49,$3.01
ACIU,6.51,undefined,-0.936,N/A,undefined, -3.26 , 212.07 Mil ,$-66.44,$26.18
ACIW,40.36,19.284137931034483,0.62,12.00,0.4778032193021428, 18 , 5.74 Bil ,$290,"$2,180"
ACLS,42.04,63.13241379310345,1.46,20.00,1.5017224974572658, 17.23 , 1.23 Bil ,$62.3,$143.0
ACMR,75.1,38.484827586206904,0.89,20.00,0.5124477707883742, 64.7 , 1.38 Bil ,$-69.0,$133.1
ACNB,28.2,undefined,2.129,N/A,undefined,Not Found!," -95,311,000.00 ",$24.42,"$2,297.39"
ACOR,4.21,-700.9655172413794,-12.32,29.00,-166.50012286018514, -6.59 , 236.20 Mil ,$-65.4,$394.7
ACQRU,10.07,undefined,None,,undefined,Not Found!, - ,$,$0.00
ACRS,26.02,-150.8093931034483,-1.199,74.40,-5.795902886373877, -26.03 , 1.28 Bil ,$-39.09,$33.13
ACRX,1.2,undefined,-0.474,N/A,undefined, -3.3 , 118.79 Mil ,$-40.36,$122.05
ACST,0.4399,undefined,0.027,N/A,undefined, 10.17 , 54.87 Mil ,$-15.69,$4.59
ACTC,14.76,undefined,None,,undefined,Not Found!, 503.32 Mil ,$,$0.05
ACTCU,17.97,undefined,None,,undefined,Not Found!, - ,$,$0.05
ACTG,5.79,66.59172413793104,1.54,20.00,11.501161336430231, -0.29 ," -43,589,000.00 ",$-33.60,$212.07
ACVA,34.81,undefined,None,0.80,undefined,Not Found!, 4.82 Bil ,$,$410.66
ACWI,99.27,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACWX,57.02,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADAG,13.33,undefined,None,N/A,undefined, -28.31 , 461.12 Mil ,$,$162.90
ADAP,4.68,-13.159793103448278,-0.913,1.00,-2.8119216033009145, -2.95 , 374.30 Mil ,USD-56.50,USD109.92
ADBE,516.17,453.1028965517242,11.486,17.50,0.8778171853298802, 43.85 , 244.13 Bil ,"$5,790","$11,439"
ADER,9.81,undefined,None,,undefined,Not Found!, 336.53 Mil ,$,$0.28
ADERU,10.2,undefined,None,,undefined,Not Found!, - ,$,$0.28
ADES,4.97,-99.85344827586209,-1.125,50.00,-20.091237077638247, -68.61 , 91.50 Mil ,$47.78,$61.46
ADI,156.91,116.03236965517245,3.771,11.78,0.7394835871211041, 24.18 , 60.86 Bil ,"$1,909","$9,352"
ADIL,2.05,undefined,-0.874,N/A,undefined, -2.8 , 30.66 Mil ,$-7.63,$1.51
ADMA,1.64,undefined,-0.879,N/A,undefined, -3.82 , 228.78 Mil ,$-114.73,$119.42
ADMP,0.7111,undefined,-0.637,N/A,undefined, -2.26 , 102.71 Mil ,$-21.85,$27.37
ADMS,5.3,329.54300689655173,-2.028,-115.60,62.17792582953806, -6.43 , 278.44 Mil ,$-50.71,$170.01
ADOC,10.06,undefined,None,,undefined,Not Found!, 118.98 Mil ,$,$0.07
ADP,192.75,164.23409655172412,5.77,10.26,0.8520575696587503, 22.11 , 83.43 Bil ,"$2,507","$43,426"
ADPT,41.33,-28.226455172413797,-1.114,8.20,-0.6829531858798402, -34.51 , 4.98 Bil ,$-168.49,$373.15
ADRE,56.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADSK,290.2,363.8272,5.44,35.58,1.253711922811854, 86.57 , 62.45 Bil ,"$1,341","$6,314"
ADTN,17.86,0.8193103448275864,0.05,2.30,0.04587403946403059, 73.6 , 764.34 Mil ,$-22.9,$152.7
ADTX,2.56,undefined,None,N/A,undefined, -3.18 , 28.00 Mil ,$-7.22,$2.09
ADUS,107.26,74.16275862068967,2.08,15.00,0.6914297838960439, 31.4 , 1.80 Bil ,$102.6,$373.9
ADV,12.87,undefined,None,14.46,undefined, 19.91 , 6.09 Bil ,$315,"$3,237"
ADVM,8.96,undefined,-1.38,N/A,undefined, -4.07 , 459.80 Mil ,$-91.14,$48.22
ADXN,10.28,undefined,None,,undefined, -3.04 , 38.52 Mil ,$-12.89,$6.27
ADXS,0.4624,undefined,-0.327,N/A,undefined, -1.61 , 33.52 Mil ,$-17.74,$8.37
AEACU,10.04,undefined,None,,undefined,Not Found!, - ,$,$0.05
AEGN,30.5,-36.190000000000005,-1.015,15.00,-1.1865573770491804, 15.79 , 1.12 Bil ,$93.9,$493.1
AEHL,2.7,undefined,None,N/A,undefined, 1.39 , 16.00 Mil ,$0.90,$19.39
AEHR,2.12,-10.161724137931035,-0.235,20.00,-4.7932661027976575, -6.88 , 48.86 Mil ,$-4.11,$8.41
AEI,9.31,undefined,None,N/A,undefined, -14.18 , 48.12 Mil ,$1.62,$8.59
AEIS,111.97,76.6594703448276,3.499,5.94,0.6846429431528767, 17.34 , 4.11 Bil ,$165,$832
AEMD,1.85,undefined,-0.706,N/A,undefined, -1.19 , 8.91 Mil ,$-6.20,$1.24
AEP,88.65,98.24593103448277,4.42,6.15,1.1082451329326877, 12.71 , 79.02 Bil ,"$-2,483","$59,983"
AEPPZ,51.06,undefined,None,,undefined,Not Found!, - ,"$-2,483.10","$59,982.70"
AERI,17.39,353.45291034482767,-3.989,-66.90,20.325066724831952, -6.88 , 806.66 Mil ,$-67.79,$378.08
AESE,2.35,undefined,-0.758,N/A,undefined, -2.55 , 93.33 Mil ,$-5.53,$28.50
AEY,2.09,undefined,-1.513,N/A,undefined, -1.81 , 30.72 Mil ,$-5.94,$15.80
AEYE,23.68,undefined,-0.774,N/A,undefined, -39.62 , 234.64 Mil ,$-3.20,$10.62
AEZS,0.91,undefined,-0.125,N/A,undefined, -11.81 , 79.86 Mil ,$-4.13,$24.07
AFAQU,10,undefined,None,,undefined,Not Found!, - ,$,$0.04
AFBI,12.26,undefined,None,,undefined,Not Found!," -71,386,000.00 ",$,$242.13
AFCG,20.99,undefined,None,,undefined,Not Found!, 282.64 Mil ,$,$1.86
AFIB,12.94,undefined,None,N/A,undefined, -2.81 , 260.35 Mil ,$-96.39,$65.95
AFIN,9.58,undefined,-0.43,N/A,undefined, 15.41 , 2.83 Bil ,$83.5,"$1,908.4"
AFINO,25.08,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFINP,25.48,undefined,-0.43,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFMD,9.62,undefined,-0.594,N/A,undefined, -23.41 , 905.40 Mil ,$-20.77,$126.19
AFRM,66.02,undefined,None,-5.28,undefined, -253.18 , 17.44 Bil ,$-81.2,"$3,057.7"
AFYA,23.6,undefined,None,10.36,undefined, 20.4 , 2.17 Bil ,$45.4,$380.8
AGBA,10.54,undefined,None,,undefined, -109.35 , 56.97 Mil ,$-0.51,$3.23
AGBAU,10.75,undefined,-0.223,,undefined,Not Found!, - ,$-0.51,$3.23
AGC,13.16,undefined,None,N/A,undefined,Not Found!, 805.28 Mil ,$,$0.08
AGCUU,14.01,undefined,None,,undefined,Not Found!, - ,$,$0.08
AGEN,2.56,undefined,-1.05,N/A,undefined, -4.14 , 474.07 Mil ,$-142.56,$426.01
AGFS,2.05,-45.06813793103449,-1.264,15.00,-21.984457527333902, 6.95 , 340.67 Mil ,$24.3,$513.4
AGFY,11.83,undefined,None,N/A,undefined, -18.59 , 227.00 Mil ,$,$28.29
AGGRU,10.02,undefined,None,,undefined,Not Found!, - ,$,$0.07
AGIO,54.51,-349.16655172413795,-4.745,40.00,-6.405550389362282, -11.16 , 3.37 Bil ,$-305.7,$453.5
AGLE,7.44,undefined,-1.516,N/A,undefined, -2.71 , 216.89 Mil ,$-80.06,$21.79
AGMH,12,undefined,-0.077,,undefined, -242.92 , 262.34 Mil ,$-0.23,$2.58
AGNC,17.34,-8.461655172413794,-0.66,-0.05,-0.4879847273595037,Not Found!, 9.84 Bil ,"$1,747.00","$70,738.00"
AGNCM,25.68,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCN,25.64,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCO,24.97,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCP,23.78,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNG,28.75,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGRX,1.81,undefined,-0.612,N/A,undefined, -2.33 , 112.77 Mil ,$-47.66,$23.73
AGTC,3.8,undefined,-2.269,N/A,undefined, -2.18 , 118.93 Mil ,$-50.38,$30.45
AGYS,49.25,-14.373434482758624,-1.108,0.05,-0.2918463854367233, -71.89 , 1.09 Bil ,$18.9,$72.4
AGZD,47.075,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AHAC,10.7,undefined,None,,undefined, -570.41 , 131.76 Mil ,$,$2.10
AHACU,12.23,undefined,None,,undefined,Not Found!, - ,$,$2.10
AHCO,28.2,undefined,None,29.89,undefined, 73.05 , 3.89 Bil ,$156,"$1,419"
AHPI,4.43,undefined,-0.08,N/A,undefined, 77.5 , 19.84 Mil ,$-2.72,$10.61
AIA,93.17,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIH,5.3,undefined,None,N/A,undefined, -6.65 , 213.68 Mil ,$0.0,$133.5
AIHS,1.3,undefined,-0.318,,undefined, -8.01 , 63.31 Mil ,$-1.51,$18.18
AIKI,0.8835,undefined,None,N/A,undefined, -7.11 , 46.61 Mil ,$-5.49,$0.88
AIMC,62.56,-14.083793103448278,-0.395,15.00,-0.22512457006790723, 25.23 , 5.14 Bil ,$229,"$2,211"
AINV,14.25,-20.728551724137933,-1.188,3.00,-1.4546352087114338,Not Found!, 2.40 Bil ,$431.51,"$1,561.37"
AIQ,29.6059,undefined,None,,undefined,Not Found!, 316.67 Mil ,$54.9,$662.7
AIRG,20.81,-22.440000000000005,-0.34,35.00,-1.078327727054301, -88.45 , 174.04 Mil ,$2.98,$7.19
AIRR,41.1061,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIRT,21.92,undefined,-0.38,N/A,undefined, 55.04 , 154.23 Mil ,$-23.4,$163.3
AKAM,105.74,104.81862068965519,3.37,12.00,0.9912863692988008, 16.19 , 18.84 Bil ,$483,"$3,513"
AKBA,2.85,undefined,-2.769,N/A,undefined, -0.84 , 290.47 Mil ,$-110.4,$396.5
AKER,2.73,undefined,-4.986,N/A,undefined, -0.47 , 5.94 Mil ,$-11.93,$2.26
AKIC,9.9,undefined,None,,undefined,Not Found!, 291.16 Mil ,$,$0.03
AKICU,10.1,undefined,None,,undefined,Not Found!, - ,$,$0.03
AKRO,27.08,undefined,-2.517,N/A,undefined, -8.38 , 672.22 Mil ,$-70.80,$14.63
AKTS,11.36,undefined,-1.107,N/A,undefined, -14.8 , 492.19 Mil ,$-35.59,$31.09
AKTX,2.43,undefined,-0.636,N/A,undefined, -4.18 , 79.06 Mil ,$-16.18,$8.84
AKU,3.1,undefined,None,N/A,undefined, 23.76 , 720.40 Mil ,$13.3,$579.0
AKUS,14.25,undefined,None,26.20,undefined, -4.19 , 195.53 Mil ,$-45.30,$22.74
ALAC,11.02,undefined,-0.019,,undefined, -98.56 , 53.72 Mil ,$0.03,$7.69
ALACU,11.3,undefined,-0.019,,undefined,Not Found!, - ,$0.03,$7.69
ALACW,0.33,undefined,-0.019,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALBO,32.9,undefined,-6.734,N/A,undefined, -3.88 , 371.89 Mil ,$-101.03,$104.38
ALCO,29.35,undefined,3.559,N/A,undefined, 6.8 , 377.38 Mil ,$-37.96,$205.64
ALDX,10.9,-137.9372689655173,-1.106,73.70,-12.654795317937365, -12.95 , 464.73 Mil ,$-37.49,$23.84
ALEC,17.85,28.2049103448276,-2.446,-16.10,1.580107022119193, -5.77 , 1.08 Bil ,$-171.77,$220.72
ALGM,25.65,undefined,None,13.69,undefined, 70.91 , 4.60 Bil ,$59.7,$135.0
ALGN,603.72,1109.8050206896553,22.41,24.14,1.8382777126642404, 95.48 , 45.89 Bil ,$507,"$1,596"
ALGS,21.54,undefined,None,N/A,undefined, -8.33 , 598.73 Mil ,$-52.39,$45.26
ALGT,243.41,152.1432,-11.526,-17.20,0.6250490941210304, -38.01 , 4.88 Bil ,$-46.5,"$2,559.6"
ALIM,9.665,undefined,-1.043,N/A,undefined, 39.84 , 105.51 Mil ,$-2.81,$58.83
ALJJ,1.32,undefined,-1.551,N/A,undefined, -5.31 , 193.79 Mil ,$12.2,$211.1
ALKS,20.06,5.930593103448276,-0.698,-14.10,0.2956427269914395, -501.93 , 3.02 Bil ,$41,$883
ALLK,105.16,9.40993103448276,-3.101,-10.50,0.08948203722406581, -32.37 , 5.03 Bil ,$-114.55,$65.22
ALLO,32.34,-29.966275862068972,-2.079,1.00,-0.926600985221675, -15.66 , 3.80 Bil ,$-181.05,$148.21
ALLT,17.58,-40.146206896551725,-0.27,89.50,-2.2836295162998708, -192.51 , 525.92 Mil ,$-19.8,$71.4
ALNA,1.11,undefined,-1.01,N/A,undefined, -1.13 , 36.34 Mil ,$-28.16,$16.36
ALNY,137.4,-618.2148082758622,-7.464,46.09,-4.499379972895649, -19.93 , 14.45 Bil ,$-685.3,"$2,390.8"
ALOT,16.35,undefined,0.18,N/A,undefined, 15.51 , 130.40 Mil ,$13.0,$40.8
ALPN,10.96,undefined,-1.342,N/A,undefined, -6.76 , 179.96 Mil ,$29.28,$81.93
ALRM,92.75,66.1593103448276,1.53,20.00,0.7133079282461197, 38.89 , 4.32 Bil ,$81.6,$263.9
ALRN,1.17,-9.762234482758622,-0.607,2.10,-8.343790156203951, -4.37 , 88.52 Mil ,$-20.48,$4.18
ALRS,30.72,undefined,2.52,N/A,undefined,Not Found!, 413.26 Mil ,$-26.1,"$2,683.6"
ALSK,3.3,1.2411034482758623,-0.02,-49.40,0.37609195402298856, 7.35 , 412.43 Mil ,$8.3,$403.5
ALT,11.78,undefined,-1.913,N/A,undefined, -4.05 , 219.08 Mil ,$-34.78,$19.24
ALTA,43.22,57.328965517241386,2.29,8.00,1.3264452919306198,Not Found!, 635.05 Mil ,$49.1,"$2,995.1"
ALTM,54.19,10.996055172413794,0.282,17.20,0.202916685226311, 15.11 , 1.46 Bil ,$134.3,"$2,046.1"
ALTO,4.915,undefined,None,20.00,undefined, 13 , 401.54 Mil ,$65.2,$180.6
ALTR,63.29,-12.729366896551724,-0.143,50.17,-0.20112761726262798, 128.78 , 4.82 Bil ,$24.7,$450.5
ALTU,9.94,undefined,None,,undefined,Not Found!, 369.75 Mil ,$,$0.28
ALTUU,10.5,undefined,None,,undefined,Not Found!, - ,$,$0.28
ALTY,13.1142,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALVR,22.55,undefined,None,N/A,undefined, -15.62 , 1.11 Bil ,$-60.81,$17.76
ALXN,165.47,71.31277241379311,2.72,8.78,0.43097100630805046, 36.39 , 36.50 Bil ,"$2,896","$6,452"
ALXO,56.46,undefined,None,N/A,undefined, -39.55 , 1.76 Bil ,$-38.32,$6.21
ALYA,2.19,-23.92462068965518,-0.671,15.00,-10.924484333175881, -9.06 , 228.39 Mil ,$-2.5,$102.3
AMAL,16.6,undefined,1.48,N/A,undefined,Not Found!, 517.36 Mil ,$64.2,"$5,442.8"
AMAT,130.89,189.86353517241383,4.181,21.43,1.4505579889404374, 23.53 , 117.98 Bil ,"$3,797","$11,832"
AMBA,98.65,-48.54784000000001,-1.724,10.06,-0.492122047643183, -62.56 , 3.08 Bil ,$25.9,$98.3
AMCA,35.9268,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AMCX,52.29,-26.048,4.64,-12.20,-0.4981449607955632, 2.77 , 4.33 Bil ,$702,"$4,603"
AMD,81.11,109.01051586206898,2.064,26.31,1.3439836747881764, 56.34 , 94.43 Bil ,$777,"$3,125"
AMED,281.03,215.7444413793104,5.52,17.26,0.7676918527534797, 32.97 , 9.55 Bil ,$284,$756
AMEH,26.78,undefined,1.01,N/A,undefined, 6.23 , 1.29 Bil ,$45.0,$372.3
AMGN,255.97,287.81628965517245,12.31,6.91,1.124414148748574, 13.19 , 171.49 Bil ,"$9,889","$53,539"
AMHC,9.96,undefined,None,,undefined, -159.41 , 123.87 Mil ,$-0.64,$3.68
AMHCU,10.19,undefined,None,,undefined,Not Found!, - ,$-0.64,$3.68
AMKR,23.4,117.99586206896552,1.4,47.05,5.04255820807545, 6.35 , 6.09 Bil ,$217,"$2,668"
AMNB,32.02,51.77586206896552,2.73,4.00,1.6169850739839324,Not Found!, 4.82 Mil ,$21.0,"$2,712.1"
AMOT,50.13,83.53172413793105,1.43,30.00,1.6663020973056264, 15.38 , 591.83 Mil ,$15.5,$206.1
AMPH,17.3,1.5248275862068965,0.03,25.00,0.08814032290213274, 27.37 , 826.43 Mil ,$23.4,$182.5
AMRK,35.99,undefined,8.33,N/A,undefined, 6.24 , 612.35 Mil ,$-205,$889
AMRN,5.04,-3.5958620689655176,-0.05,38.90,-0.713464696223317, -117.38 , 1.48 Bil ,$-22.0,$338.5
AMRS,14.44,-109.81793103448275,-1.88,30.00,-7.605119877734263, -16.46 , 4.35 Bil ,$-188.5,$389.9
AMSC,16.23,-47.01551724137932,-0.925,25.00,-2.8968279261478322, -24.75 , 353.55 Mil ,$-6.87,$52.13
AMSF,64.88,125.46827586206896,4.47,10.00,1.9338513542242444,Not Found!, 1.20 Bil ,$62.5,"$1,032.0"
AMST,2.76,undefined,None,N/A,undefined, -10.1 , 42.99 Mil ,$-4.19,$0.97
AMSWA,20.19,6.356482758620691,0.171,16.00,0.314833222319004, 53.69 , 551.54 Mil ,$25.2,$47.1
AMTB,18.39,undefined,-0.041,N/A,undefined,Not Found!, 1.61 Bil ,$51.7,"$6,987.5"
AMTBB,16.02,undefined,-0.041,,undefined,Not Found!, 1.62 Bil ,$51.7,"$6,987.5"
AMTI,40.06,undefined,None,38.70,undefined, -20.43 , 1.32 Bil ,$-64.21,$8.51
AMTX,18.48,undefined,-1.745,N/A,undefined, -131.43 , 667.14 Mil ,$-16.9,$309.9
AMWD,103.38,101.41468965517241,4.051,8.00,0.9809894530390058, 10.04 , 2.25 Bil ,$141,$893
AMYT,13.52,undefined,None,N/A,undefined, -17.15 , 566.24 Mil ,$24.4,$470.4
AMZN,3372.01,2974.661117241379,41.83,38.37,0.8821626024956566, 32.79 , 1.67 Til ,"$25,925","$227,791"
ANAB,21.75,undefined,-0.73,N/A,undefined, -10.85 , 209.85 Mil ,$-14.73,$19.82
ANAT,113,undefined,17.38,N/A,undefined,Not Found!, 3.10 Bil ,$293,"$23,002"
ANDA,10.29,undefined,-0.173,,undefined, -39.85 , 45.43 Mil ,$-0.25,$0.88
ANDAU,14.95,undefined,-0.173,,undefined,Not Found!, - ,$-0.25,$0.88
ANDE,28.18,5.75793103448276,0.23,8.00,0.20432686424708163, 11.71 , 2.52 Bil ,$-179,"$3,111"
ANGI,16.79,-1.1990303448275863,-0.013,52.29,-0.07141336181224457, 86.26 , 7.80 Bil ,$136,"$1,085"
ANGL,32.12,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ANGN,13.57,undefined,None,N/A,undefined, -7.26 , 396.37 Mil ,$-22.93,$137.80
ANGO,23.93,-157.7741379310345,-4.425,15.00,-6.593152441748202, -6.01 , 869.09 Mil ,$9.7,$127.3
ANIK,39.96,-47.436551724137935,-1.69,10.00,-1.187100893997446, -496.79 , 498.76 Mil ,$11.4,$93.2
ANIP,34.03,-30.602,-1.885,2.20,-0.8992653540993241, 20.72 , 583.22 Mil ,$-53.1,$265.5
ANIX,4.06,undefined,-0.413,N/A,undefined, -11.48 , 109.07 Mil ,$-5.43,$1.53
ANNX,21.52,undefined,None,38.60,undefined, -7.89 , 495.51 Mil ,$-53.09,$11.67
ANPC,5.06,undefined,None,N/A,undefined, -7.08 , 50.68 Mil ,$-5.28,$4.22
ANSS,364.47,124.42137931034483,4.97,8.00,0.34137618819201804, 51.72 , 31.61 Bil ,$512,"$1,843"
ANTE,2.33,-109.53041379310346,-2.533,20.00,-47.00876128459376, -0.15 , 5.44 Mil ,$-17.72,$120.36
ANY,1.98,-42.46303448275862,-0.982,20.00,-21.445977011494254, -8.93 , 36.43 Mil ,$-2.58,$6.82
ANZUU,10.04,undefined,None,,undefined,Not Found!, - ,$,$0.00
AOSL,29.94,23.94889655172414,0.619,17.00,0.7998963444129639, 14.74 , 927.35 Mil ,$45.8,$378.5
AOUT,25.88,undefined,None,N/A,undefined, 8.47 , 335.82 Mil ,$22.8,$63.7
APA,18.07,302.43172413793104,-12.86,-24.00,16.73667538118047, -6.09 , 16.00 Bil ,$86,"$13,391"
APDN,5.92,undefined,-3.236,N/A,undefined, -3.12 , 40.56 Mil ,$-12.90,$3.96
APEI,33.58,44.56896551724138,1.25,15.00,1.3272473352364915, 10.22 , 394.69 Mil ,$39.9,$64.1
APEN,6.2,undefined,-0.994,N/A,undefined, -12.52 , 168.85 Mil ,$-21.44,$70.69
APHA,14.41,undefined,-1.607,,undefined, -12.16 , 4.85 Bil ,$-110.1,$975.9
API,55.22,undefined,None,26.70,undefined, -7707.69 , 5.63 Bil ,$-6.3,$36.4
APLS,45.98,-78.66046896551725,-4.588,2.80,-1.710754000989936, -10.17 , 3.18 Bil ,$-165.9,$756.0
APLT,16.45,undefined,-4.278,N/A,undefined, -3.47 , 327.36 Mil ,$-78.21,$22.57
APM,2.61,undefined,-0.536,N/A,undefined, -4.54 , 80.21 Mil ,$-14.29,$5.79
APOG,36.06,21.036551724137933,0.59,15.00,0.5833763650620614, 13.02 , 1.03 Bil ,$116,$522
APOP,2.29,undefined,-0.854,N/A,undefined, -13.87 , 3.62 Mil ,$-4.76,$1.41
APPF,145.06,225.67448275862074,4.44,25.00,1.5557319919938009, 121.47 , 4.89 Bil ,$3.2,$103.6
APPN,125.87,undefined,-0.485,N/A,undefined, -317.17 , 8.33 Bil ,$-8.9,$215.9
APPS,71.85,36.56855172413794,0.412,50.00,0.5089568785544599, 119.17 , 6.21 Bil ,$51.8,$120.3
APR,29.57,undefined,None,-71.50,undefined, 6.78 , 1.27 Bil ,$88,$731
APRE,4.46,undefined,-26.67,N/A,undefined, -0.13 , 6.87 Mil ,$-41.83,$15.41
APTO,5.07,undefined,-0.675,N/A,undefined, -5.2 , 306.59 Mil ,$-33.98,$7.35
APTX,2.72,undefined,-1.024,N/A,undefined, -0.72 , 36.11 Mil ,$-42.57,$4.70
APVO,26.1,undefined,-5.235,N/A,undefined, -3.95 , 102.76 Mil ,$-29.32,$36.95
APWC,3.06,undefined,0.051,N/A,undefined, 9.48 , 86.54 Mil ,$14.8,$83.4
APXT,10.7,undefined,None,,undefined, -83.73 , 461.44 Mil ,$-2.42,$17.64
APXTU,11.68,undefined,None,,undefined,Not Found!, - ,$-2.42,$17.64
APYX,9.64,-12.408,-0.348,15.00,-1.2871369294605808, -15.51 , 286.63 Mil ,$-16.65,$10.25
AQB,5.48,undefined,-0.451,N/A,undefined, 2.43 , 297.97 Mil ,$-18.61,$10.90
AQMS,2.72,-27.918000000000003,-0.423,35.00,-10.263970588235294, -7.91 , 171.87 Mil ,$-14.40,$4.00
AQST,4.14,undefined,-1.658,N/A,undefined, -3.9 , 153.89 Mil ,$-45.98,$111.38
AQWA,15.5727,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ARAV,5.19,-518.7921655172414,-1.934,168.30,-99.95995482027772, -2.1 , 48.14 Mil ,$-12.17,$19.66
ARAY,5.16,-30.417655172413802,0.08,-259.10,-5.894894413258489, 12.55 , 567.29 Mil ,$20.8,$400.4
ARBG,9.81,undefined,None,,undefined,Not Found!, 281.75 Mil ,$,$0.06
