TICKER SYMBOL,LIST PRICE,INTRINSIC VALUE,EPS TTM,GROWTH ESTIMATES NEXT 5 YEARS,MARGIN OF SAFETY,ENTERPRISE VALUE/EBITDA,ENTERPRISE VALUE,FREE CASH_FLOW (MIL),TOTAL LIABILITIES (MIL)
ACHV,11.58,undefined,-5.418,N/A,undefined,-2.44, 35.35 Mil ,($13.49),$3.01 
ACIU,7.61,undefined,-0.917,N/A,undefined,-4.73, 307.31 Mil ,($66.44),$26.18 
WLL,35.45,2165.445671,-103.11,-23.01,61.08450412,-0.47, 1.82 Bil ,($157.40),$815.10 
SLCA,12.29,634.2151316,-1.55,-291.2,51.60416042,35.84, 2.16 Bil ,($45.50),"$1,620.20 "
PRTK,7.06,359.57625,-2.185,-122.2,50.93148017,-6.03, 456.51 Mil ,($103.80),$279.11 
ACNB,29.3,undefined,2.129,N/A,undefined,Not Found!,"-82,145,000.00",$24.42 ,"$2,297.39 "
KEN,30.5,1519.180951,6.523,152.41,49.80921152,5.15, 2.12 Bil ,$12.00 ,$987.00 
DTEA,3.76,186.9052842,-1.048,-131.72,49.70885218,-6.33, 84.84 Mil ,$3.10 ,$62.00 
ACRX,1.7,undefined,-0.474,N/A,undefined,-5.14, 184.92 Mil ,($40.36),$122.05 
ACST,0.6,undefined,0.027,N/A,undefined,17.2, 95.44 Mil ,($15.69),$4.59 
ACTC,17.88,undefined,None,,undefined,Not Found!, 637.56 Mil ,$,$0.05 
ACTCU,20.7,undefined,None,,undefined,Not Found!, - ,$,$0.05 
NCTY,31.2,1503.245526,11.049,85.5,48.18094636,13.61, 355.65 Mil ,($7.84),$123.84 
ACWI,95.15,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ACWX,55.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ADAG,17.95,undefined,None,N/A,undefined,-41.85, 647.76 Mil ,$,$162.90 
CCL,26.54,1221.948547,-13.208,-72.42,46.04176893,-7.02, 49.94 Bil ,"($9,921)","$33,038 "
AAL,23.9,988.6487368,-18.362,-45.7,41.36605593,-4.84, 49.46 Bil ,"($8,501)","$68,875 "
ADERU,10.04,undefined,None,,undefined,Not Found!, - ,$,$0.28 
CDEV,4.2,163.5610263,-2.462,-54.4,38.9431015,-6.66, 2.32 Bil ,($156.60),"$1,223.50 "
MITO,1.57,55.86118421,-0.83,-55,35.58037211,-2.26, 75.01 Mil ,$0.00 ,$20.25 
ADIL,2.42,undefined,-0.874,N/A,undefined,-3.42, 37.39 Mil ,($7.63),$1.51 
ADMA,1.76,undefined,-0.879,N/A,undefined,-4.41, 263.69 Mil ,($114.73),$119.42 
ADMP,0.94,undefined,-0.499,N/A,undefined,-4.01, 124.89 Mil ,($19.69),$16.52 
MGNX,31.85,985.0751842,-2.474,-283.6,30.92857721,-13.19, 1.57 Bil ,($117.80),$82.90 
ADOC,9.99,undefined,None,,undefined,Not Found!, 117.92 Mil ,$,$0.07 
TROX,18.3,555.7981579,6.69,48.9,30.37148404,9.83, 5.87 Bil ,$160 ,"$4,697 "
AZUL,20.19,608.5894737,-16.425,-34.1,30.1431141,-4.71, 5.22 Bil ,$98 ,"$5,820 "
ADRE,56.37,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
SWN,4.65,129.5098026,-5.423,-25,27.85157046,-2.91, 6.57 Bil ,$528 ,"$4,663 "
ATI,21.06,584.7947368,-12.432,-41,27.76803119,-3.08, 3.83 Bil ,$30 ,"$3,394 "
ADTX,2.55,undefined,None,N/A,undefined,-3.2, 28.20 Mil ,($7.22),$2.09 
TIGO,38.21,1001.434211,-3.4,-212,26.20869433,6.62, 9.79 Bil ,($3),"$10,148 "
ADV,11.81,undefined,None,13.6,undefined,19.24, 5.88 Bil ,$315 ,"$3,237 "
ADVM,9.86,undefined,-1.38,N/A,undefined,-5.16, 586.76 Mil ,($91.14),$48.22 
ADXN,10.415,undefined,None,,undefined,-3.17, 40.66 Mil ,($12.89),$6.27 
ADXS,0.7362,undefined,-0.327,N/A,undefined,-3.21, 66.19 Mil ,($17.74),$8.37 
AEACU,9.89,undefined,None,,undefined,Not Found!, - ,$,$0.05 
VHC,5.57,133.3315789,3.92,15,23.93744685,1.11, 175.97 Mil ,$281.40 ,$10.40 
AEHL,3.11,undefined,None,N/A,undefined,1.54, 17.59 Mil ,$0.90 ,$19.39 
PARR,14.12,335.4745263,-7.68,-38.68,23.75881914,-7.15, 1.93 Bil ,($101),"$1,888 "
AEI,11.57,undefined,None,N/A,undefined,-4.93, 74.49 Mil ,($4.03),$14.50 
IRS,3.89,91.48815789,2.94,13,23.51880666,1.79, 1.03 Bil ,$40.20 ,"$1,325.20 "
AEMD,2.03,undefined,-0.706,N/A,undefined,-1.77, 13.04 Mil ,($6.20),$1.24 
IHRT,18.15,423.4652632,-13.12,-30.8,23.33141946,15.72, 8.71 Bil ,$131 ,"$8,152 "
AEPPZ,48.86,undefined,None,,undefined,Not Found!, - ,"($2,483.10)","$59,982.70 "
SFUN,12.5,265.5486842,-0.7,-270.6,21.24389474,36.46, 473.54 Mil ,$0.00 ,"$1,212.30 "
AESE,2.88,undefined,-0.758,N/A,undefined,-5.51, 117.68 Mil ,($9.38),$21.32 
AEY,2.6,undefined,-1.513,N/A,undefined,-2.31, 39.00 Mil ,($5.94),$15.80 
AEYE,27.94,undefined,-0.774,N/A,undefined,-50.42, 298.58 Mil ,($3.20),$10.62 
AEZS,1.14,undefined,-0.125,N/A,undefined,-16.61, 111.72 Mil ,($4.13),$24.07 
AFIB,13.37,undefined,None,N/A,undefined,-3.17, 293.78 Mil ,($96.39),$65.95 
AFIN,9.82,undefined,-0.43,N/A,undefined,15.6, 2.87 Bil ,$83.50 ,"$1,908.40 "
AFINO,24.4997,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFINP,25.7313,undefined,-0.43,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AFMD,7.91,undefined,-0.599,N/A,undefined,-18.21, 781.20 Mil ,($38.53),$71.76 
AFRM,70.72,undefined,None,-2.43,undefined,-283.45, 19.53 Bil ,($81.20),"$3,057.70 "
AFYA,18.59,undefined,None,10.36,undefined,17.65, 1.75 Bil ,$57.40 ,$237.80 
AGBA,10.55,undefined,None,,undefined,-109.71, 57.16 Mil ,($0.51),$3.23 
AGBAU,10.4,undefined,-0.223,,undefined,Not Found!, - ,($0.51),$3.23 
AGC,11.7,undefined,None,N/A,undefined,12.61, 327.04 Mil ,$,$131.16 
AGCUU,12.22,undefined,None,,undefined,Not Found!, - ,$,$0.08 
AGEN,2.72,undefined,-1.05,N/A,undefined,-4.67, 535.48 Mil ,($142.56),$426.01 
KNSA,18.51,392.1181579,-2.61,-112.3,21.18412522,-6.09, 944.43 Mil ,($136.82),$37.53 
AGFY,12.48,undefined,None,N/A,undefined,-82.08, 252.89 Mil ,$,$4.03 
GE,13.13,275.9494737,0.576,322.5,21.01671544,13.81, 149.31 Bil ,$194 ,"$216,378 "
AGLE,7.92,undefined,-1.516,N/A,undefined,-3.04, 244.74 Mil ,($80.06),$21.79 
AGMH,11.96,undefined,-0.077,,undefined,-238.67, 257.76 Mil ,($0.23),$2.58 
MX,24.9,507.5291447,7.541,38,20.38269658,21.24, 965.62 Mil ,($29.40),$226.10 
AGNCM,25.59,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCN,25.36,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCO,24.63,undefined,-0.66,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGNCP,23.66,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AGRX,2.08,undefined,-0.612,N/A,undefined,-3.14, 152.21 Mil ,($47.66),$23.73 
AGTC,5.07,undefined,-2.269,N/A,undefined,-3.38, 184.70 Mil ,($50.38),$30.45 
CEPU,2.26,45.66447368,0.5,54.6,20.20551933,3.45, 746.04 Mil ,$96.20 ,$907.80 
AGZD,47.02,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AHAC,10.83,undefined,None,,undefined,-603.81, 139.48 Mil ,$,$2.10 
AHACU,12.495,undefined,None,,undefined,Not Found!, - ,$,$2.10 
AHCO,36.76,undefined,None,29.89,undefined,92.97, 4.95 Bil ,$156 ,"$1,419 "
AHPI,4.74,undefined,-0.08,N/A,undefined,88.89, 22.76 Mil ,($2.72),$10.61 
AIA,92.18,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIH,7.36,undefined,None,N/A,undefined,-8.13, 262.32 Mil ,$0.00 ,$133.50 
AIHS,1.4,undefined,-0.318,,undefined,-9.31, 73.66 Mil ,($1.51),$18.18 
AIKI,1.14,undefined,None,N/A,undefined,-11.69, 76.50 Mil ,($5.49),$0.88 
OPRA,10,197.3414474,1.474,84,19.73414474,19.34, 1.09 Bil ,$82.00 ,$60.90 
AERI,17.87,337.1754737,-3.989,-66.9,18.86824139,-6.99, 818.86 Mil ,($67.79),$378.08 
AIQ,28.45,undefined,None,,undefined,Not Found!, 314.16 Mil ,$54.90 ,$662.70 
BMA,13.35,247.7692105,5.15,24.74,18.55949143,Not Found!, 20.35 Mil ,$0 ,"$8,039 "
AIRR,40.55,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
AIRT,23.77,undefined,-0.38,N/A,undefined,57.02, 159.72 Mil ,($23.40),$163.30 
SOHU,15.72,271.7011579,-2.193,-94.1,17.28378867,13.96, 1.44 Bil ,$0.00 ,"$1,790.10 "
AKBA,3.385,undefined,-2.769,N/A,undefined,-1.07, 368.76 Mil ,($110.40),$396.50 
AKER,3.22,undefined,-2.493,N/A,undefined,-1.64, 20.93 Mil ,($11.93),$2.26 
AKRO,29.01,undefined,-2.517,N/A,undefined,-9.1, 729.24 Mil ,($70.80),$14.63 
AKTS,13.34,undefined,-1.107,N/A,undefined,-19.24, 640.06 Mil ,($35.59),$31.09 
AKTX,2.64,undefined,-0.636,N/A,undefined,-5.15, 97.33 Mil ,($16.18),$8.84 
AKU,3.7,undefined,None,N/A,undefined,8.62, 691.12 Mil ,$19.40 ,$548.30 
AKUS,13.87,undefined,None,26.2,undefined,-3.95, 184.70 Mil ,($45.30),$22.74 
ALAC,10.93,undefined,0.004,,undefined,-105.58, 53.53 Mil ,($0.14),$7.36 
ALACU,11.2,undefined,0.004,,undefined,Not Found!, - ,($0.14),$7.36 
ALACW,0.45,undefined,0.004,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALBO,35.25,undefined,-6.734,N/A,undefined,-4.54, 436.50 Mil ,($101.03),$104.38 
ALCO,29.86,undefined,3.559,N/A,undefined,6.87, 381.18 Mil ,($37.96),$205.64 
FI,3.55,59.40781579,-0.691,-67.9,16.734596,-172.15, 684.80 Mil ,$11.20 ,$155.70 
WTTR,4.98,82.43313158,-3.98,-22.81,16.55283767,-1.88, 561.59 Mil ,$84.60 ,$169.50 
ALGM,25.35,undefined,None,13.69,undefined,77.63, 5.03 Bil ,$59.70 ,$135.00 
APA,17.9,288.5039474,-12.86,-24,16.11753896,-6.34, 16.74 Bil ,$86 ,"$13,391 "
ALGS,22.74,undefined,None,N/A,undefined,-8.47, 608.64 Mil ,($52.39),$45.26 
BLRX,2.79,42.62861842,-1.785,-25,15.2790747,-3.86, 107.87 Mil ,($23.21),$25.26 
ALIM,9.62,undefined,-1.043,N/A,undefined,41.44, 109.77 Mil ,($2.81),$58.83 
ALJJ,1.45,undefined,-1.551,N/A,undefined,-5.5, 200.57 Mil ,$12.20 ,$211.10 
GHL,16.48,249.5957895,1.36,118.3,15.14537557,10.8, 639.19 Mil ,$67.00 ,$497.70 
HA,26.67,403.2753711,-11.083,-33.64,15.1209363,-3.6, 2.38 Bil ,($416.00),"$3,377.90 "
CRESY,5.22,77.57894737,1.6,25,14.86186731,2.54, 1.95 Bil ,$272 ,"$2,347 "
SGMS,38.52,571.9316842,-6.02,-74.14,14.84765535,24.06, 12.34 Bil ,$281 ,"$10,508 "
ALNA,1.39,undefined,-1.01,N/A,undefined,-1.7, 53.98 Mil ,($28.16),$16.36 
BYSI,11.07,158.5227368,-2.032,-62.4,14.32003043,-6.55, 395.09 Mil ,($49.50),$16.47 
ALOT,13.4,undefined,0.18,N/A,undefined,15.35, 107.49 Mil ,$11.30 ,$40.30 
ALPN,10.6,undefined,-1.342,N/A,undefined,-6.56, 174.47 Mil ,$29.28 ,$81.93 
FTFT,6.2,87.34578947,2.568,15,14.08803056,-19.44, 328.31 Mil ,($9.29),$9.29 
AR,10.2,143.4105605,-4.654,-29.79,14.05985888,-15.54, 9.21 Bil ,$688 ,"$7,061 "
ALRS,29.78,undefined,2.52,N/A,undefined,Not Found!, 423.01 Mil ,($26.10),"$2,683.60 "
UAL,57.54,794.6511447,-25.301,-30.2,13.81041266,-5.04, 39.48 Bil ,"($5,860)","$53,588 "
ALT,14.13,undefined,-1.913,N/A,undefined,-5.65, 306.01 Mil ,($34.78),$19.24 
FTSI,24.74,341.6019026,-5.939,-48.24,13.80767593,-8.07, 268.07 Mil ,($50.10),$48.40 
APRN,6.31,86.27980263,-3.057,-28,13.67350279,-9.74, 137.02 Mil ,($11.40),$151.40 
ALTO,5.43,undefined,None,20,undefined,15.36, 474.71 Mil ,$65.20 ,$180.60 
CYH,13.52,184.5821711,4.39,20.55,13.65252744,6.48, 13.06 Bil ,"$1,737 ","$17,544 "
ALTU,10.03,undefined,None,,undefined,Not Found!, 376.50 Mil ,$,$0.28 
ALTUU,10.71,undefined,None,,undefined,Not Found!, - ,$,$0.28 
ALTY,12.7,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ALVR,23.4,undefined,None,N/A,undefined,-15.53, 1.11 Bil ,($60.81),$17.76 
GFI,9.49,127.4726316,0.808,100.5,13.43231102,4.86, 10.36 Bil ,$521 ,"$3,645 "
ALXO,73.74,undefined,None,N/A,undefined,-57.15, 2.54 Bil ,($38.32),$6.21 
MRTX,171.3,2297.295,-7.956,-208,13.41094571,-21.02, 7.75 Bil ,($275.90),$115.34 
AMAL,16.59,undefined,1.48,N/A,undefined,Not Found!, 544.74 Mil ,$64.20 ,"$5,442.80 "
TRUE,4.785,64.08947368,0.72,53,13.3938294,30.55, 261.82 Mil ,$28.80 ,$75.30 
LFC,10.41,137.8271053,1.345,62.3,13.23987563,17.53, 60.10 Bil ,"$45,350 ","$580,411 "
AMCA,34.6694,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
PFSI,66.87,885.0536316,20.92,20.73,13.23543639,13.31, 30.85 Bil ,"($6,283)","$28,208 "
GTN,18.4,242.4718421,3.69,36.9,13.17781751,5.86, 5.71 Bil ,$542 ,"$5,240 "
SPR,48.65,630.3413947,-8.38,-60.47,12.95665765,-11.91, 7.30 Bil ,($864),"$7,527 "
AMEH,27.09,undefined,1.01,N/A,undefined,6.49, 1.34 Bil ,$45.00 ,$372.30 
FTCH,53.02,685.4838158,-9.745,-57.1,12.92877812,-5.95, 18.19 Bil ,($5),"$5,267 "
AMHC,9.94,undefined,None,,undefined,-158.29, 122.99 Mil ,($0.64),$3.68 
AMHCU,10.05,undefined,None,,undefined,Not Found!, - ,($0.64),$3.68 
NCLH,27.59,356.3475474,-15.752,-24.13,12.91582267,-6.58, 18.72 Bil ,"($3,503)","$14,045 "
ATNX,4.3,55.05285789,-1.718,-30.64,12.80299021,-2.7, 346.68 Mil ,($144.70),$219.00 
CBIO,5.04,62.93383684,-2.932,-23.33,12.48687239,-1.56, 89.28 Mil ,($55.32),$18.78 
TGI,18.38,228.9271079,-8.681,-26.72,12.45522894,-13.38, 2.56 Bil ,($170),"$3,472 "
WOR,67.09,833.25,11.514,41.5,12.41988374,4.19, 3.80 Bil ,$226 ,"$1,675 "
AMRK,36,undefined,8.33,N/A,undefined,6.31, 620.59 Mil ,($205),$889 
CRSP,121.85,1469.2975,-5.29,-200.4,12.05824785,-21.37, 7.38 Bil ,($256.72),$163.73 
UIS,25.42,302.0983553,11.927,9,11.88427833,-19.25, 1.57 Bil ,($781),"$3,020 "
NXST,140.43,1656.778026,17.37,57.4,11.79789238,6.85, 13.72 Bil ,"$1,037 ","$10,867 "
BLUE,30.15,351.3921053,-9.95,-32.9,11.65479619,-1.74, 1.06 Bil ,($499.30),$426.20 
AMST,4.14,undefined,None,N/A,undefined,-16.83, 71.74 Mil ,($4.19),$0.97 
TDS,22.96,267.4544342,1.939,86.8,11.64871229,4.77, 6.51 Bil ,$164 ,"$6,932 "
AMTB,18.57,undefined,-0.041,N/A,undefined,Not Found!, 1.66 Bil ,$51.70 ,"$6,987.50 "
AMTBB,16.45,undefined,-0.041,,undefined,Not Found!, 1.66 Bil ,$51.70 ,"$6,987.50 "
AMTI,44.01,undefined,None,38.7,undefined,-32.57, 2.11 Bil ,($64.21),$8.51 
AMTX,24.52,undefined,-1.745,N/A,undefined,-185.26, 940.57 Mil ,($16.90),$309.90 
MTOR,29.42,338.2665,3.237,63.7,11.4978416,6.19, 3.07 Bil ,$249 ,"$2,365 "
AMYT,13.93,undefined,None,N/A,undefined,-17.56, 579.67 Mil ,$24.40 ,$470.40 
CANG,8.4,95.82065263,3.376,11.11,11.40722055,2.22, 1.24 Bil ,$0.00 ,$477.30 
ANAB,21.55,undefined,-0.73,N/A,undefined,-10.48, 203.00 Mil ,($14.73),$19.82 
ANAT,107.87,undefined,17.38,N/A,undefined,Not Found!, 3.00 Bil ,$293 ,"$23,002 "
ANDA,10.27,undefined,-0.173,,undefined,-39.74, 45.30 Mil ,($0.25),$0.88 
ANDAU,12.23,undefined,-0.173,,undefined,Not Found!, - ,($0.25),$0.88 
YMAB,30.24,344.9042763,-2.975,-88.6,11.40556469,-10.1, 1.21 Bil ,($91.41),$26.21 
VRCA,15.15,172.3057368,-1.708,-78.2,11.37331596,-9.96, 392.93 Mil ,($31.68),$41.17 
ANGL,31.813,undefined,None,,undefined,Not Found!,Not Found!,Not Found!,Not Found!
ANGN,18.07,undefined,None,N/A,undefined,-14.66, 558.53 Mil ,($24.83),$30.47 
PTEN,7.13,79.2,-4.275,-21.3,11.10799439,-9.5, 2.08 Bil ,$133 ,"$1,283 "
SAGE,74.85,820.5536842,11.43,41.1,10.96264107,3.86, 2.42 Bil ,$664 ,$87 
FRTA,23.25,248.16,0.94,173.9,10.67354839,10.93, 2.65 Bil ,$209 ,"$1,462 "
ANIX,4.68,undefined,-0.413,N/A,undefined,-12.04, 114.41 Mil ,($5.43),$1.53 
ANNX,27.84,undefined,None,38.6,undefined,-11.1, 697.37 Mil ,($53.09),$11.67 
ANPC,5.99,undefined,None,N/A,undefined,-9.32, 66.81 Mil ,($5.28),$4.22 
MFA,4.07,43.12955263,-1.57,-27.48,10.59694168,Not Found!, 2.93 Bil ,$38.22 ,"$4,407.50 "
BXC,39.19,414.5625,8.55,25,10.57827252,6, 1.03 Bil ,$51 ,$989 
CBD,5.82,60.47047368,1.402,21.3,10.39011575,2.88, 3.60 Bil ,$392 ,"$7,092 "
JBLU,20.34,210.4821053,-4.88,-38.3,10.3481861,-7.73, 9.12 Bil ,"($1,474)","$9,455 "
AOUT,25.2,undefined,None,N/A,undefined,8.74, 346.96 Mil ,$22.80 ,$63.70 
DAL,48.28,497.8925658,-19.49,-26.15,10.31260493,-3.59, 52.61 Bil ,"($5,692)","$70,462 "
APDN,7.19,undefined,-3.236,N/A,undefined,-4.12, 53.40 Mil ,($12.90),$3.96 
SABR,14.81,152.4492895,-4.42,-32.33,10.29367248,-11.34, 8.11 Bil ,($839),"$5,715 "
APEN,5.51,undefined,-0.994,N/A,undefined,-12.2, 164.57 Mil ,($21.44),$70.69 
APHA,18.37,undefined,-0.628,,undefined,-52.91, 6.09 Bil ,($178.70),$660.80 
API,50.27,undefined,None,26.7,undefined,-7645.87, 5.59 Bil ,($6.30),$36.40 
ATRS,4.11,41.745,0.33,78.9,10.15693431,42.14, 688.29 Mil ,$6.70 ,$93.40 
APLT,18.755,undefined,-4.278,N/A,undefined,-4.04, 379.61 Mil ,($78.21),$22.57 
APM,2.98,undefined,-0.536,N/A,undefined,-5.79, 102.31 Mil ,($14.29),$5.79 
MCRB,20.59,202.8971711,-1.117,-134,9.854160809,-20.84, 1.66 Bil ,($94.20),$168.19 
APOP,3.14,undefined,-0.854,N/A,undefined,-12.32, 5.91 Mil ,($3.88),$1.29 
TKC,4.67,45.61164474,0.745,33.8,9.766947481,3.68, 5.25 Bil ,$650 ,"$3,761 "
APPN,132.95,undefined,-0.485,N/A,undefined,-363.23, 9.54 Bil ,($8.90),$215.90 
ACTG,6.65,63.525,1.54,20,9.552631579,0.02, 2.73 Mil ,($33.60),$212.07 
APR,27.93,undefined,None,-71.5,undefined,8.09, 1.14 Bil ,$,$483 
APRE,5.1,undefined,-26.67,N/A,undefined,-0.34, 18.10 Mil ,($41.83),$15.41 
APTO,5.975,undefined,-0.675,N/A,undefined,-6.94, 410.56 Mil ,($33.98),$7.35 
APTX,3,undefined,-1.024,N/A,undefined,-1.18, 59.64 Mil ,($42.57),$4.70 
APVO,30.52,undefined,-5.235,N/A,undefined,-4.43, 126.82 Mil ,($28.30),$35.22 
APWC,4.03,undefined,0.051,N/A,undefined,10.92, 99.81 Mil ,$14.80 ,$83.40 
APXT,11.08,undefined,None,,undefined,-90.36, 497.98 Mil ,($2.42),$17.64 
APXTU,12.74,undefined,None,,undefined,Not Found!, - ,($2.42),$17.64 
CPSS,4.03,37.125,0.9,20,9.212158809,Not Found!, 2.12 Bil ,$238.70 ,"$2,012.50 "
AQB,6.7,undefined,-0.451,N/A,undefined,2.67, 391.46 Mil ,($18.61),$10.90 
FENG,1.77,15.86757237,0.795,5.29,8.964730152,24.88,"-201,483,000.00",$0.00 ,$301.90 
AQST,5.2,undefined,-1.658,N/A,undefined,-4.95, 194.81 Mil ,($45.98),$111.38 
CW,118.6,1031.684211,4.8,140,8.698855063,14.3, 5.93 Bil ,$214 ,"$2,234 "
SGEN,138.86,1195.5075,3.37,236.6,8.609444765,35.58, 23.49 Bil ,$774 ,$513 
ARBG,9.65,undefined,None,,undefined,Not Found!, 280.31 Mil ,$,$0.06 
ARBGU,10,undefined,None,,undefined,Not Found!, - ,$,$0.06 
ESGR,246.73,2109.973684,78.8,10,8.551751648,4, 6.45 Bil ,"$2,786 ","$14,959 "
BIO,571.17,4803.902632,126.2,17.8,8.410635418,3.26, 16.54 Bil ,$476 ,"$3,093 "
MHLD,3.3,27.59407895,0.93,12,8.361842105,13.38, 863.85 Mil ,($541.80),"$2,420.60 "
ARCT,41.3,undefined,-3.553,N/A,undefined,-8.83, 622.21 Mil ,($44.60),$79.90 
RRR,32.59,267.2293684,-2.132,-95.1,8.199735146,23.2, 6.95 Bil ,$154 ,"$3,135 "
KPTI,10.52,85.94936842,-2.724,-30.3,8.170092055,-4.12, 690.92 Mil ,($160.40),$262.50 
AREC,3.8,undefined,-0.349,N/A,undefined,-52.36, 212.89 Mil ,($14.26),$58.42 
BTAI,43.16,348.8794737,-3.79,-72.1,8.083398371,-8.69, 712.96 Mil ,($66.67),$13.24 
ARKO,9.94,undefined,None,N/A,undefined,19.45, 3.03 Bil ,$,"$2,422 "
ARKR,20.14,undefined,-1.995,N/A,undefined,-21.01, 171.29 Mil ,($12.27),$122.31 
SAVE,36.9,295.2611316,-5.062,-48.8,8.001656682,-28.34, 6.66 Bil ,($762),"$6,149 "
NTNX,26.56,211.8947368,-4.88,-38.5,7.97796449,-6.68, 5.43 Bil ,($176),"$3,070 "
OPY,40.05,316.3223684,9.3,15,7.898186477,4.43, 896.67 Mil ,($59),"$2,028 "
ARPO,1.29,undefined,-0.101,N/A,undefined,-2.9, 18.02 Mil ,($5.39),$1.87 
LINC,6.41,50.57756579,1.487,15,7.89041588,9.71, 215.28 Mil ,$17.90 ,$154.10 
SRLP,21.89,168.5301316,1.11,96.4,7.698955303,11.12, 1.34 Bil ,$142 ,"$1,141 "
ARTL,1.63,undefined,-0.882,N/A,undefined,-3.97, 19.01 Mil ,($4.62),$0.49 
NBR,93.45,704.3255132,-118.689,-12.6,7.536923629,9.39, 3.33 Bil ,$154 ,"$4,247 "
